PREGUNTA	RESPUESTA
¿CÓMO SE LLAMA EL FAMOSO NAVÍO DE GUERRA SUECO, CONSTRUIDO EN EL SIGLO XVII Y REFLOTADO EN EL SIGLO XX PARA SER LA ATRACCIÓN PRINCIPAL DEL MUSEO HOMÓNIMO?	VASA
¿CÓMO SE CONOCE EN LA CULTURA SUECA A LA PAUSA DEL DÍA PARA TOMAR EL CAFÉ?	FIKA
¿EN QUÉ CIUDAD SE ENCUENTRA EL FAMOSO PARK GÜELL?	BARCELONA
¿QUIÉN ESCRIBIÓ EL LIBRO LA PUERTA EQUIVOCADA?	ADRIÁN PAENZA
¿CÓMO SE LLAMA EL HIJO MAYOR DE GOKÚ EN DRAGON BALL?	GOHAN
¿QUIÉN FUE EL DIRECTOR DE LA PELÍCULA DE BATMAN, EL CABALLERO DE LA NOCHE?	CHRISTOPHER NOLAN
¿CÓMO SE LLAMA EL PIANISTA DE JAZZ INTERPRETADO POR RYAN GOSLING EN LA LA LAND?	SEBASTIAN
EN LA PELÍCULA DE LA GUERRA DE LAS GALAXIAS, ¿A QUÉ PERSONAJE LE DICE YODA HAZLO O NO LO HAGAS, PERO NO HAY INTENTO?	LUKE SKYWALKER
¿EN QUÉ AÑO NACIÓ LUIS FONSI?	1978
¿EN QUÉ ESTACIÓN DE TREN DE LONDRES SE ENCUENTRA EL ANDÉN 9 Y &amp;#xBE; DE HARRY POTTER?	KINGS CROSS
¿CÓMO SE LLAMA EL MANDRIL DEL REY LEÓN?	RAFIKI
¿CON QUÉ OBJETO SE IDENTIFICA A MARY POPPINS?	PARAGUAS
¿QUÉ ACTRIZ INTERPRETABA A LA NENA DE LA PELÍCULA E.T.?	DREW BARRYMORE
¿QUÉ DEPORTISTA ARGENTINO FUE ABANDERADO EN LOS JUEGOS OLÍMPICOS DE SÍDNEY 2000?	CARLOS CAMAU ESPÍNOLA
¿EN QUÉ CIUDAD SE ENCUENTRA EL FAMOSO PARQUE DE ATRACCIONES TIVOLI?	COPENHAGUE
ADEMÁS DE CÁNCER Y ESCORPIO, ¿CUÁL ES EL TERCER SIGNO DE AGUA?	PISCIS
¿EN QUÉ DEPORTE SE DESTACÓ JOSÉ CHUCHO ACASUSO?	TENIS
¿CUÁL ES EL NOMBRE DE PILA DE CIRO, EL EX CANTANTE DE LOS PIOJOS?	ANDRÉS
¿CÓMO SE LLAMA EL PADRE Y ENEMIGO DE BUZZ LIGHTYEAR EN TOY STORY?	ZORD
¿CÓMO SE LLAMA EL JUGUETE VILLANO DE TOY STORY 3?	LOTSO
¿QUÉ COMEN LOS JUDÍOS EN LUGAR DE PAN EN LAS PASCUAS?	MATZA
¿CUÁNTAS CUERDAS TIENE GENERALMENTE EL CHARANGO?	10
¿QUÉ TIPO DE INSTRUMENTO ES LA FLAUTA?	DE VIENTO
¿QUÉ DEPORTISTA ARGENTINO FUE ABANDERADO EN LOS JUEGOS OLÍMPICOS DE PEKÍN 2008?	EMANUEL GINÓBILI
¿DE QUÉ EQUIPO DE FÚTBOL ES HINCHA NICOLÁS CABRÉ?	VÉLEZ
¿QUIÉN REEMPLAZÓ A LA CHINA SUÁREZ EN TEEN ANGELS?	ROCHI IGARZÁBAL
¿EN QUÉ PAÍS SE ENCUENTRA EL FAMOSO EMBALSE EL YESO?	CHILE
¿A QUÉ MÚSICO PERTENECE EL DISCO AHÍ VAMOS?	GUSTAVO CERATI
¿CÓMO SE LLAMÓ EL FAMOSO AUTOR DE OBRAS INFANTILES ENTRE LAS QUE SE ENCUENTRA VIVITOS Y COLEANDO?	HUGO MIDÓN
¿QUÉ JUGADOR DE FÚTBOL POPULARIZÓ LA FRASE TAMO ACTIVO?	BRIAN SARMIENTO
¿DE QUÉ EQUIPO DE LA N.B.A. ES PROPIETARIO LA LEYENDA DEL BÁSQUET MICHAEL JORDAN?	CHARLOTTE HORNETS
¿EN QUÉ CIUDAD SE SITUABA LA HISTORIA DE LA SERIE FRIENDS?	NUEVA YORK
EL SELECCIONADO ARGENTINO DE BASKET GANÓ LA MEDALLA DORADA EN LOS JUEGOS OLÍMPICOS DE ATENAS 2004, ¿A QUÉ SELECCIÓN LE GANÓ EN LA FINAL?	ITALIA
¿CUÁL ES EL NOMBRE DE PILA DE TITO SPERANZA?	HÉCTOR
¿QUÉ SIGNO DEL ZODÍACO SE ENCUENTRA ENTRE LEO Y LIBRA?	VIRGO
¿QUÉ DEPORTISTA ARGENTINO FUE ABANDERADO EN LOS JUEGOS OLÍMPICOS DE ATENAS 2004?	CARLOS CAMAU ESPÍNOLA
¿CUÁL ES EL SÍMBOLO DEL PARTIDO DEMÓCRATA DE LOS ESTADOS UNIDOS?	UN BURRO
¿CUÁL ES EL SÍMBOLO DEL PARTIDO REPUBLICANO DE LOS ESTADOS UNIDOS?	UN ELEFANTE
¿CON QUÉ OTRO NOMBRE SE CONOCIÓ A LA BATALLA DE AUSTERLITZ?	BATALLA DE LOS TRES EMPERADORES
¿EN QUÉ PAÍS SE ENCUENTRA EL VOLCÁN CHIMBORAZO?	ECUADOR
¿DE QUÉ COLOR ES LA FRANJA MÁS ANCHA DE LA BANDERA DE COLOMBIA?	AMARILLA
¿EN QUÉ CIUDAD EUROPEA ESTÁN LAS OFICINAS CENTRALES DE INTERPOL?	LYON
¿CUÁL ES LA MONEDA OFICIAL DE JAPÓN?	YEN
¿CUÁL ES LA MONEDA OFICIAL DE CHINA?	YUAN
¿QUÉ DEPORTISTA ARGENTINA FUE ABANDERADA EN LOS JUEGOS OLÍMPICOS DE LONDRES 2012?	LUCIANA AYMAR
¿QUIÉN FUE EL REPRESENTANTE PAPAL EN LA MEDIACIÓN POR EL CONFLICTO DEL CANAL DE BEAGLE ENTRE ARGENTINA Y CHILE?	ANTONIO SAMORÉ
¿CUÁL ES EL APODO DEL PERSONAJE QUE INTERPRETA ADRIAN SUAR EN LA PELÍCULA UN NOVIO PARA MI MUJER?	EL TENSO
¿A QUÉ CIUDAD LLAMABAN LA CHICAGO ARGENTINA?	ROSARIO
¿CÓMO SE LLAMA EL CABO EN EL CUAL ESTÁN UBICADAS LAS CIUDADES BALNEARIAS DE SAN CLEMENTE, SANTA TERESITA, MAR DEL TUYÚ, SAN BERNARDO Y MAR DE AJÓ?	CABO SAN ANTONIO
¿CUÁL ES EL APELLIDO DE SOLTERA DE ANTONELLA, LA ESPOSA DE LIONEL MESSI?	ROCUZZO
¿QUÉ ACTOR PROTAGONIZÓ LA PELÍCULA CARANCHO?	RICARDO DARÍN
¿CUÁL ES LA CAPITAL DE LIBERIA?	MONROVIA
¿QUÉ PAÍS TIENE UNA BANDERA IGUAL A LA DE LA CRUZ ROJA, PERO CON LOS COLORES INVERTIDOS?	SUIZA
¿DE QUÉ ORIGEN ES EL PENSADOR Y FILÓSOFO CONFUCIO?	CHINO
¿QUÉ DEPORTISTA ARGENTINO FUE ABANDERADO EN LOS JUEGOS OLÍMPICOS DE RÍO DE JANEIRO 2016?	LUIS SCOLA
¿DE QUÉ PROVINCIA FUE GOBERNADOR JULIO COBOS?	MENDOZA
¿CÓMO SE LES SUELE LLAMAR A LOS CORREOS ELECTRÓNICOS BASURA?	SPAM
¿QUIÉN ES EL DIRECTOR DE LA PELÍCULA CARANCHO?	PABLO TRAPERO
¿CON QUÉ OTRO NOMBRE SE CONOCE A LA ESCÁPULA?	OMÓPLATO
¿CUÁNTOS LADOS TIENE UN ICOSÁGONO?	20
¿CON QUÉ NOMBRE SE CONOCE POPULARMENTE AL ÁCIDO ACETILSALICÍLICO?	ASPIRINA
¿QUÉ INSTRUMENTO SE UTILIZA PARA MEDIR LA PRESIÓN ATMOSFÉRICA?	UN BARÓMETRO
¿QUIÉN FUE EL PRIMER SER HUMANO EN VIAJAR AL ESPACIO EXTERIOR?	YURI GAGARIN
EN EL JUEGO MATEMÁTICO SUDOKU, ¿SE JUEGA CON LOS NÚMEROS DEL 1 AL&amp;#x2026;?	9
¿A QUÉ FUTBOLISTA ECHÓ EL ÁRBITRO HORACIO ELIZONDO EN LA FINAL DEL MUNDIAL 2006?	ZINEDINE ZIDANE
EN LA POPULAR SERIE EL ZORRO, ¿QUIÉN ES EL ARCHIENEMIGO DEL PROTAGONISTA?	CAPITÁN MONASTERIO
¿CÓMO SE LLAMA LA HIJA DE XUXA?	SASHA
¿QUÉ ES UN SAYÓN?	UN VERDUGO
¿QUÉ ES EL CANOPY?	UN DEPORTE EXTREMO
¿EN QUÉ DEPORTE EXISTEN LAS MODALIDADES ARRANCADA Y ENVIÓN?	LEVANTAMIENTO DE PESAS
¿CUÁNTOS JUGADORES POR EQUIPO COMIENZAN UN PARTIDO DE CRICKET?	11
¿QUÉ DEPORTISTA ARGENTINA FUE ABANDERADA EN LOS JUEGOS OLÍMPICOS DE SEÚL 1988?	GABRIELA SABATINI
¿QUÉ ACTOR INTERPRETA AL CUERVO FLORES EN LA PELÍCULA UN NOVIO PARA MI MUJER?	GABRIEL PUMA GOITY
¿EN QUÉ PAÍS SE ENCUENTRA LA CIUDAD DE BERGEN?	NORUEGA
¿EN QUÉ AÑO GANARON POR PRIMERA VEZ EL BAILANDO POR UN SUEÑO HERNÁN PIQUÍN Y NOELIA POMPA?	2011
¿QUIÉN TERMINÓ COMO CAPITÁN EL VIAJE EN EL CUAL MURIÓ FERNANDO DE MAGALLANES?	JUAN SEBASTIÁN ELCANO
¿EN QUÉ PAÍS SE ENCUENTRA EL AEROPUERTO INTERNACIONAL DE CARRASCO?	URUGUAY
¿CUÁL ERA LA MONEDA UTILIZADA EN BRASIL ANTES DEL REAL?	CRUZEIRO
¿A QUÉ LE TEME UNA PERSONA QUE SUFRE DE BRONTOFOBIA?	A LOS RAYOS
¿EN QUÉ POSICIÓN QUEDARON LOS PUMAS EN EL MUNDIAL DE RUGBY JUGADO EN FRANCIA EN EL AÑO 2007?	TERCERO
EN LA MITOLOGÍA GRIEGA, ¿CÓMO SE LLAMA AL DIOS QUE SUELE SER REPRESENTADO CON TORSO DE HUMANO Y COLA DE PEZ?	TRITÓN
DESDE FINALES DE LA DÉCADA DEL 80 LAS PELEAS DE BOXEO DURAN 12 ROUNDS, ¿CUÁNTOS EPISODIOS PODÍAN LLEGAR A DURAR ANTERIORMENTE?	15 ROUNDS
LOS JUEGOS OLÍMPICOS DE 1916 SE CANCELARON POR LA PRIMERA GUERRA MUNDIAL, ¿EN QUÉ CIUDAD IBAN A CELEBRARSE ESOS JUEGOS?	BERLÍN
¿CÓMO SE LLAMABA EL PRIMER POWER RANGER DE TRAJE COLOR ROJO?	JASON
¿CON QUÉ EX TENISTA ESTÁ CASADO EL FUTBOLISTA FERNANDO GAGO?	GISELA DULKO
¿QUÉ COMEDIA ERA PROTAGONIZADA POR CHARLIE SHEEN Y JON CRYER?	TWO AND A HALF MEN
¿CUÁNTOS JUGADORES POR EQUIPO EMPIEZAN UN PARTIDO DE WATERPOLO?	7
¿EN QUÉ AÑO GANÓ EL BAILANDO POR UN SUEÑO CAROLINA PAMPITA ARDOHAIN?	2008
¿CÓMO SE LLAMA ES ESCULTOR QUE REALIZÓ LA ESTATUA DE LA LIBERTAD?	FRÉDÉRIC AUGUSTE BARTHOLDI
¿CUÁL ES EL APODO DEL PERSONAJE QUE INTERPRETA VALERIA BERTUCCELLI EN LA PELÍCULA UN NOVIO PARA MI MUJER?	LA TANA
¿CON QUÉ ANIMAL SE REPRESENTA AL SIGNO DE CAPRICORNIO?	CABRA
¿CÓMO SE LLAMABA LA TIRA EN LA QUE APARECIÓ POR PRIMERA VEZ COMO PERSONAJE SECUNDARIO CLEMENTE?	BARTOLO EL MAQUINISTA
¿CUÁL ES EL NOMBRE Y APELLIDO DEL HISTORIETISTA CONOCIDO COMO CALOI?	CARLOS LOISEAU
EN LA PELÍCULA ¿QUIÉN QUIERE SER MILLONARIO?, ¿EN QUÉ PAÍS TRANSCURRE LA HISTORIA?	INDIA
¿DE QUÉ PAÍS ES ORIGINARIA LA BANDA MOLOTOV?	MÉXICO
¿EN QUÉ CIUDAD ARGENTINA SE ENCUENTRA EL AEROPUERTO INTERNACIONAL TENIENTE LUIS CANDELARIA?	BARILOCHE
¿SOBRE QUE RÍO ACUATIZÓ EL FAMOSO CAPITÁN SULLY EL 15 DE ENERO DEL 2009?	RÍO HUDSON
EN LA CIUDAD DE BUENOS AIRES, ¿CUÁL ES EL LIMITE MÁXIMO DE ALCOHOL PERMITIDO PARA CONDUCIR MOTOCICLETAS?	0,2 g/l (GRAMOS DE ALCOHOL POR LITRO DE SANGRE)
¿QUÉ EDIFICIO APARECÍA EN EL REVERSO DEL BILLETE DE UN PESO?	CONGRESO NACIONAL ARGENTINO
¿A QUÉ LÍNEA DE SUBTE DE LA CIUDAD DE BUENOS AIRES PERTENECE LA ESTACIÓN RÍO DE JANEIRO?	A
¿CUÁNTAS FICHAS HAY EN TOTAL EN UN JUEGO DE BURAKO?	106
¿QUÉ ESTACIÓN DE SUBTE DE BUENOS AIRES LE RINDE HOMENAJE A LIONEL MESSI CON SU DECORACIÓN?	JOSÉ HERNÁNDEZ (LÍNEA D)
¿QUIÉN ES EL MINISTRO DE TRANSPORTE DE LA NACIÓN?	GUILLERMO DIETRICH
¿QUIÉN ES EL ARTISTA CON MÁS RECITALES EN EL ESTADIO DE RIVER PLATE EN UNA MISMA GIRA?	ROGER WATERS (REALIZÓ 9 CONCIERTOS EN EL 2012)
¿EN QUÉ PROVINCIA SE ENCUENTRA EL AEROPUERTO INTERNACIONAL AMBROSIO TARAVELLA?	CÓRDOBA
¿QUÉ DÍA DE LA SEMANA FUE EL PRIMER DÍA DE ESTE SIGLO?	SÁBADO
SEGÚN EL TÍTULO DE UNA DE SUS CANCIONES, ¿QUÉ ANIMAL ES AMIGO DE SANDRO?	EL PUMA
¿EN QUÉ FECHA FALLECIÓ EL MÚLTIPLE CAMPEÓN DE AUTOMOVILISMO JUAN MANUEL FANGIO?	17 DE JULIO DE 1995
¿QUIÉN FUE EL CAPITÁN DE LA ÚNICA COPA DAVIS GANADA POR ARGENTINA?	DANIEL ORSANIC
¿QUIÉN COMPUSO PARA ELISA?	LUDWIG VAN BEETHOVEN
¿CUÁL DE LOS DENOMINADOS EQUIPOS GRANDES SE FUNDÓ PRIMERO?	RIVER PLATE
EN LA CIUDAD DE BUENOS AIRES, DE UN LADO DE LA ESQUINA DE ÁNGEL GALLARDO Y CORRIENTES ES EL BARRIO DE VILLA CRESPO, ¿QUÉ BARRIO ES DEL OTRO LADO?	ALMAGRO
¿DE QUÉ BANDA FUE BATERISTA PHIL COLLINS?	GENESIS
¿QUIÉN ES EL HIJO MAYOR DE PALITO ORTEGA Y EVANGELINA SALAZAR?	MARTÍN ORTEGA
¿QUÉ ACTRIZ INTERPRETÓ A BELLA EN LA BELLA Y LA BESTIA DE 2017?	EMMA WATSON
¿CON QUÉ ACTOR ESTUVO EN PAREJA DURANTE MUCHO TIEMPO ISABEL MACEDO?	FACUNDO ARANA
¿CÓMO SE LLAMA EL AEROPUERTO INTERNACIONAL DE JUJUY?	GOBERNADOR HORACIO GUZMÁN
¿CUÁL ES EL NOMBRE DE EL POLACO, EL FAMOSO CANTANTE DE CUMBIA?	EZEQUIEL CWIRKALUK
¿CÓMO SE LLAMA EL COMPAÑERO CON SOMBRERO VERDE DE MARIO BROS EN EL FAMOSO VIDEOJUEGO?	LUIGI
¿A QUÉ PERSONAJE DE VOLVER AL FUTURO INTERPRETÓ EL ACTOR CHRISTOPHER LLOYD?	DOC. EMMETT BROWN
EN ARGENTINA, ¿QUÉ VEHÍCULO TIENE PRIORIDAD DE PASO EN LAS INTERSECCIONES?	EL QUE CIRCULA POR LA DERECHA
EN ARGENTINA, ¿QUÉ VEHÍCULO TIENE PRIORIDAD DE PASO EN LAS ROTONDAS?	EL QUE CIRCULA POR ELLA (SOBRE EL QUE INTENTA INGRESAR)
¿CUÁL ES EL LÍMITE MÁXIMO DE VELOCIDAD PARA LOS AUTOS EN LA AUTOPISTA LUGONES?	100 KM/H (KILÓMETROS POR HORA)
SEGÚN LAS PROPIAS PALABRAS DE MARCELO BIELSA, ¿CUÁNTOS PARTIDOS DE FÚTBOL VIO EN 30 AÑOS?	MÁS DE 50.000
¿EN QUÉ CONTINENTE SE ENCUENTRA KIRIBATI, EL PRIMER PAÍS DEL MUNDO EN RECIBIR AL AÑO NUEVO?	OCEANÍA
¿EN QUÉ CIUDAD ARGENTINA SE ENCUENTRA EL AEROPUERTO EL TEHUELCHE?	PUERTO MADRYN
¿EN QUÉ PROVINCIA SE DESARROLLÓ LA BATALLA DE SAN LORENZO?	SANTA FE
¿QUÉ PERIÓDICO FUNDÓ DOMINGO SARMIENTO?	EL ZONDA
¿QUIÉN ESCRIBIÓ LA NOVELA CONOCIDA COMO DON QUIJOTE DE LA MANCHA?	MIGUEL DE CERVANTES
¿CUÁL FUE EL PRIMER LARGOMETRAJE COMPLETAMENTE ANIMADO POR COMPUTADORA?	TOY STORY
EN SU VESTIMENTA HABITUAL. ¿DE QUÉ COLOR SON LOS ZAPATOS DEL RATÓN MICKEY?	AMARILLO
¿CUÁL ES EL 70% DE 70?	49
¿QUÉ SON LAS FALLAS DE VALENCIA?	UNA FESTIVIDAD
¿QUÉ RELIGIÓN PROFESABA JESÚS?	JUDAÍSMO
¿DE QUÉ ARTISTA POP ARGENTINA ES LA CANCIÓN UNA NA?	LALI
¿EN QUÉ INSTRUMENTO SE DESTACÓ LOUIS AMSTRONG?	TROMPETA
¿QUIÉN ES EL ÚNICO ARGENTINO QUE GANÓ DOS MUNDIALES COMO JUGADOR DE FÚTBOL?	DANIEL PASSARELLA
¿CON QUÉ OTRA ESTRELLA DE LA MÚSICA COMPUSO JUSTIN BIEBER SU ÉXITO LOVE YOURSELF?	ED SHEERAN
¿CUÁNTO MIDE UNA HOJA A4?	21 CM x 29,7 CM
¿EN QUÉ FECHA MURIÓ JUAN DOMINGO PERÓN?	1 DE JULIO DE 1974
¿CÓMO SE LLAMA LA TÉCNICA DEL GRABADO EN MADERA?	XILOGRAFÍA
¿QUIÉN COMPUSO PARA ELISA?	LUDWIG VAN BEETHOVEN
¿EN QUÉ FECHA SE CELEBRA EL DÍA NACIONAL DEL ESCULTOR?	17 DE NOVIEMBRE
¿EN MEMORIA DE QUIÉN SE CELEBRA EL DÍA NACIONAL DEL ESCULTOR EN NUESTRO PAÍS?	LOLA MORA
¿QUÉ ESCRITOR PERDIÓ, EN SEGUNDA VUELTA, LAS ELECCIONES PRESIDENCIALES EN PERÚ CON ALBERTO FUJIMORI?	MARIO VARGAS LLOSA
¿QUÉ NOMBRE LE PUSO MICHAEL JACKSON A LA GRAN MANSIÓN QUE TENÍA EN CALIFORNIA?	RANCHO NEVERLAND
¿A QUÉ ARTÍSTA PERTENECE EL DISCO DE TANGO LANZADO EN EL AÑO 2006 LLAMADO TINTA ROJA?	ANDRÉS CALAMARO
¿CON QUÉ ACTRIZ TIENE UN HIJO EL MÚSICO EMMANUEL HORVILLEUR?	CELESTE CID
¿QUÉ CANTANTE DICE EN UNA DE SUS CANCIONES QUE HAY PINGÜINOS EN LA CAMA?	RICARDO ARJONA
¿CUÁNTAS FINALES DE MUNDIALES JUGÓ LA SELECCIÓN ARGENTINA DE FÚTBOL?	5
¿CUÁL ES EL NOMBRE ARTÍSTICO POR EL CUAL CONOCIDO EL MÚSICO BRIAN WARNER?	MARILYN MANSON
¿QUÉ ES UNA TIORBA?	UN INSTRUMENTO MUSICAL
¿QUÉ LE PUEDE SUCEDER A ALGO QUE ES USTIBLE?	SE PUEDE QUEMAR FACILMENTE
¿CÓMO SE LES LLAMA A LOS TORINILLOS QUE TIENE EN SU CABEZA UNA RANURA EN FORMA DE CRUZ?	PHILLIPS
SEGÚN SU DEFINICIÓN, ¿QUÉ MERECE ALGO QUE ES PLAUSIBLE?	APLAUSOS
LOS JUEGOS OLÍMPICOS DE 1944 FUERON SUSPENDIDOS POR LA SEGUNDA GUERRA MUNDIAL, ¿QUÉ CIUDAD IBA A SER SEDE DE DICHOS JUEGOS?	LONDRES
¿CÓMO SE LE DICE A UNA PERSONA QUE HABLA VARIOS IDIOMAS?	POLÍGLOTA
¿QUIÉN APARECÍA EN EL ANVERSO DEL BILLETE DE UN PESO?	CARLOS PELLEGRINI
¿QUÉ FAMOSA CANTANTE VIRALIZÓ LA PREGUNTA ¿ME OYEN, ME ESCUCHAN??	THALÍA
¿QUÉ ES LA DISNEA?	UNA DIFICULTAD RESPIRATORIA
¿A PARTIR DE QUÉ AÑO SE DESIGNÓ A PLUTÓN COMO UN PLANETA ENANO?	2006
¿EN QUÉ CIUDAD SE ENCUENTRA LA SEDE DE LA UNIÓN ASTRONÓMICA INTERNACIONAL?	PARÍS
¿CUÁL ES LA CAPITAL DE REPUBLICA CHECA?	PRAGA
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA EL HUESO HÚMERO?	BRAZO
¿CÓMO SE LLAMA LA PARTE QUE DA COLOR AL OJO?	IRIS
¿CÓMO SE LE LLAMA A LOS PERROS GUÍAS QUE ACOMPAÑAN A LAS PERSONAS NO VIDENTES?	LAZARILLO
¿QUÉ INSECTO TRANSMITE LA MALARIA?	EL MOSQUITO
¿QUÉ LE PASA A UNA PERSONA QUE TIENE HIPERHIDROSIS?	TRANSPIRA EXCESIVAMENTE
¿QUÉ TIENE UNA PERSONA CON PIE DE ATLETA?	HONGOS
¿QUIÉN FUE LA PRIMERA ESPOSA DEL CANTANTE CRISTIAN CASTRO?	GABRIELA BO
¿CÓMO SE LE LLAMA A UNA MANADA DE CERDOS?	PIARA
¿DE QUÉ SE ALIMENTAN LOS INSECTOS HEMATÓFAGOS?	DE SANGRE
¿QUÉ CARACTERÍSTICA PARTICULAR SUELE TENER UNA PERSONA CON HETEROCROMÍA?	TIENE LOS OJOS DE DIFERENTE COLOR
¿QUÉ TIPO DE ANIMAL ES UN CHORLITO?	UN AVE
¿DE DÓNDE SE EXTRAE LA TAPIOCA?	DE LA RAÍZ DE LA MANDIOCA
¿EN QUÉ FECHA SE CASÓ JUAN DOMINGO PERÓN CON MARÍA ESTELA MARTÍNEZ?	15 DE NOVIEMBRE DE 1961
EN ARGENTINA, ¿QUÉ CLASE DE VEHÍCULO PUEDO MANEJAR SI TENGO UNA LICENCIA CLASE A?	MOTOCICLETAS
EN EL TECLADO DE UN TELÉFONO CONVENCIONAL, ¿EN QUÉ NÚMERO ESTÁ LA LETRA T?	EN EL 8
¿EN QUÉ CIUDAD DE LA PROVINCIA DE BUENOS AIRES NACIÓ JUAN DOMINGO PERÓN?	LOBOS
¿A QUÉ PROVINCIA ARGENTINA SE LA APODA LA DOCTA?	CÓRDOBA
¿DURANTE CUÁNTOS DÍAS OCUPÓ LA PRESIDENCIA DE LA NACIÓN ADOLFO RODRÍGUEZ SAÁ EN EL 2001?	8 DÍAS
¿CUÁL ES LA CAPITAL DE BAHAMAS?	NASSAU
¿CUÁNTAS ESTRELLAS TIENE LA BANDERA DE PANAMÁ?	DOS
¿CUÁNTAS ESTRELLAS TIENE LA BANDERA DE CHINA?	5
¿DE QUÉ PAÍS FUE PRESIDENTE ANDRÉS PASTRANA?	COLOMBIA
¿CÓMO SE LLAMA LA PENÍNSULA EN DONDE SE ENCUENTRA CANCÚN?	YUCATÁN
¿QUIÉN FUE VICEPRESIDENTE DURANTE LA PRESIDENCIA DE NÉSTOR KIRCHNER?	DANIEL SCIOLI
¿FRENTE A QUÉ GOLFO SE ENCUENTRA LA CIUDAD DE COMODORO RIVADAVIA?	GOLFO SAN JORGE
¿QUÉ TÍTULO UNIVERSITARIO TENÍA EL EX PRESIDENTE DE CHILE SALVADOR ALLENDE?	MÉDICO CIRUJANO
¿QUÉ FAMOSO CAUDILLO FUE ASESINADO EN BARRANCA YACO?	FACUNDO QUIROGA
¿QUIÉN ES ACTUALMENTE PRIMERA MINISTRA DEL REINO UNIDO?	THERESA MAY
¿CUÁNTAS ESPOSAS TUVO JUAN DOMINGO PERÓN?	3
¿EN QUÉ FECHA OCURRIÓ EL FAMOSO ACUATIZAJE EN EL RÍO HUDSON DEL PILOTO SULLY?	15 DE ENERO DE 2009
¿CON QUÉ NOMBRE SE CONOCE A LA PLAZA DE LA CONSTITUCIÓN DE MÉXICO?	EL ZÓCALO
¿CÓMO SE LLAMA EL AEROPUERTO INTERNACIONAL DE MENDOZA?	EL PLUMERILLO
¿QUÉ NÚMERO DE TELÉFONO HAY QUE MARCAR EN LA CIUDAD DE BUENOS AIRES PARA LLAMAR AL SAME?	107
¿QUÉ ACTRIZ PROTAGONIZÓ CON LEONARDO DI CAPRIO LA PELÍCULA TITANIC?	KATE WINSLET
¿CUÁL ES EL NÚMERO DE LA LEY CONOCIDA COMO BASURA CERO DE LA CIUDAD DE BUENOS AIRES?	LEY N grados 1.854
¿EN QUÉ MES SE CELEBRA EL DÍA DE LA MADRE EN ARGENTINA?	OCTUBRE
¿CÓMO SE LLAMA EL AEROPUERTO INTERNACIONAL DE SALTA?	MARTÍN MIGUEL DE GÜEMES
¿EN QUÉ CIUDAD SE ENCUENTRA EL MUSEO NACIONAL CENTRO DE ARTE REINA SOFÍA?	MADRID
¿CUÁLES SON LAS MEDIDAS, EN CENTÍMETROS, DEL MURAL DE PABLO PICASSO LLAMADO GUERNICA?	349,3 CM X 776, 6 CM
¿CUÁNTO TIEMPO DE VIGENCIA TIENE EL PASAPORTE ARGENTINO DESDE SU FECHA DE EMISIÓN?	10 AÑOS
¿EN QUÉ FECHA FUE LA FIESTA DE CASAMIENTO DE DIEGO MARADONA Y CLAUDIA VILLAFAÑE EN EL LUNA PARK?	7 DE NOVIEMBRE DE 1989
¿EN QUÉ CIUDAD EUROPEA SE ENCUENTRA LA FAMOSA UNIVERSIDAD DE LA SORBONA?	PARÍS
EN LA PELÍCULA ARGENTINA EL AURA, PROTAGONIZADA POR RICARDO DARÍN, ¿QUÉ PROFESIÓN TIENE EL PROTAGONISTA?	TAXIDERMISTA
¿DE QUÉ PAÍS ES FLOR NACIONAL EL CLAVEL?	ESPAÑA
SEGÚN LA MARCHA DE SAN LORENZO, ¿DE QUÉ SE ESTÁ CUBRIENDO CABRAL?	DE GLORIA
¿CUÁL ES EL SEGUNDO NOMBRE DE LA ACTRIZ LUISANA LOPILATO?	LORELEY
¿DE QUÉ GRUPO HUMORÍSTICO FORMA PARTE MARCOS MUNDSTOCK?	LES LUTHIERS
¿QUÉ GRUPO MUSICAL CONFORMARON LUISANA LOPILATO, BENJAMÍN ROJAS, FELIPE COLOMBO Y CAMILA BORDONABA?	ERREWAY
¿QUÉ PAPA DE LA IGLESIA CATÓLICA FALLECIÓ EN 2005?	JUAN PABLO II
¿QUÉ GRUPO MUSICAL SE CARACTERIZA POR PINTARSE LA CARA DE BLANCO Y NEGRO?	KISS
¿QUIÉN ES EL JUGADOR CON MÁS TÍTULOS GANADOS DE LA N.B.A.?	BILL RUSSELL
¿QUIÉN ES EL ENTRENADOR CON MÁS TÍTULOS GANADOS DE LA N.B.A.?	PHIL JACKSON
¿QUÉ NACIÓN FORMA PARTE DEL REINO UNIDO, PERO NO DE LA ISLA DE GRAN BRETAÑA?	IRLANDA DEL NORTE
¿CUÁL FUE LA PRIMERA PELÍCULA PROTAGONIZADA POR LOS BEATLES?	A HARD DAYS NIGHT (ANOCHECER DE UN DÍA AGITADO)
¿EN QUÉ CIUDAD TRANSCURRE LA PELÍCULA ANIMADA RATATOUILLE?	PARÍS
¿CUÁL FUE EL PRIMER LARGOMETRAJE DE DISNEY?	BLANCANIEVES Y LOS SIETE ENANITOS
¿QUIÉN QUEDÓ EN EJERCICIO DEL PODER EJECUTIVO ENTRE LAS PRESIDENCIAS DE CRISTINA FERNÁNDEZ Y MAURICIO MACRI?	FEDERICO PINEDO
